module	present	bytes
calamus_document_identity.py	YES	2796
calamus_document_loader.py	YES	6522
calamus_document_serializer.py	YES	4022
calamus_document_save.py	YES	4837
calamus_guarded_file_writer.py	YES	32561
calamus_document_copy.py	YES	8271
calamus_file_lifecycle.py	YES	4482
calamus_document_session.py	YES	16390
calamus_document_session_controller.py	YES	5476
calamus_history.py	YES	6509
calamus_history_runtime.py	YES	10250
calamus_editor_transaction.py	YES	12135
calamus_editor_buffer_adapter.py	YES	2412
calamus_search.py	YES	11171
calamus_search_gateway.py	YES	8432
calamus_search_runtime.py	YES	5614
calamus_search_view.py	YES	3780
calamus_search_dialogs.py	YES	8678
calamus_navigation.py	YES	799
calamus_line_numbers.py	YES	12445
calamus_line_numbers_gateway.py	YES	2450
calamus_typography.py	YES	3655
calamus_view_preferences.py	YES	2017
calamus_appearance_preferences.py	YES	4332
calamus_print_runtime.py	YES	2403
calamus_writing.py	YES	4986
calamus_commands.py	YES	7226
calamus_command_handlers.py	YES	5235
calamus_recent_files.py	YES	3394
calamus_settings_repository.py	YES	3093
calamus_application_state.py	YES	2841
calamus_help.py	YES	6997
calamus_help_dialogs.py	YES	5635
calamus_spellcheck.py	YES	1315
calamus_spellcheck_runtime.py	YES	7561
